Student_Name,attendance_percentage,study_hours_per_week,homework_completion_rate,class_participation,quiz_average,midterm_score,final_score,math_score,science_score,english_score,overall_grade,stress_level,learning_style
Karthik Reddy,95.06,13.91,73.68,3,51.34,84.48,49.81,62.22,93.79,44.11,C,4,Visual
Siddharth Reddy,81.36,9.16,45.27,4,36.62,51.08,74.93,41.21,49.75,63.03,C,2,Auditory
Ananya Reddy,75.52,6.91,72.85,4,41.79,39.36,97.22,71.44,87.22,54.12,A,1,Visual
Diya Reddy,76.42,6.08,30.35,3,68.22,74.88,88.39,70.3,84.47,84.38,A,3,Visual
Isha Reddy,94.53,3.38,42.38,1,42.83,54.1,94.38,71.52,50.7,53.63,D,1,Visual
Kavya Reddy,52.96,11.38,80.94,5,81.97,32.67,92.29,98.44,65.31,67.48,C,5,Kinesthetic
Pooja Reddy,69.45,6.19,58.71,1,51.88,96.08,35.73,94.69,65.37,89.13,B,4,Auditory
Sneha Reddy,92.08,7.3,44.25,1,42.45,77.08,75.38,49.7,85.6,94.92,C,2,Visual
Aditi Reddy,51.88,1.15,65.41,1,36.63,43.38,86.29,62.13,90.26,83.36,A,2,Auditory
Nisha Reddy,81.96,11.09,62.57,2,50.03,33.43,55.74,65.44,45.69,65.75,B,5,Visual
Priya Reddy,70.16,14.23,74.38,5,96.52,64.49,35.89,61.63,73.78,74.32,A,4,Kinesthetic
Meera Reddy,60.23,18.62,35.08,2,33.57,99.71,33.53,87.91,85.7,81.38,D,1,Visual
Aarav Sharma,80.57,4.75,87.35,2,96.84,56.01,53.61,71.44,87.17,92.5,A,1,Auditory
Vivaan Sharma,91.55,18.47,34.08,4,82.08,91.59,85.97,74.33,48.88,93.31,D,2,Auditory
Aditya Sharma,73.37,7.86,61.77,2,70.94,79.96,79.37,91.18,71.53,95.86,B,1,Kinesthetic
Arjun Sharma,57.34,16.25,79.73,1,64.15,48.01,82.2,88.36,91.45,88.64,D,5,Kinesthetic
Krishna Sharma,65.31,18.04,54.14,1,39.96,33.08,36.32,47.93,59.11,48.81,B,1,Visual
Rohan Sharma,99.07,19.27,93.71,4,32.61,91.79,42.83,82.83,65.51,84.86,C,5,Visual
Rahul Sharma,55.55,7.18,82.87,5,73.66,86.6,79.55,66.13,88.26,88.88,A,3,Auditory
Karthik Sharma,58.04,5.95,59.82,3,46.7,79.49,98.59,57.68,45.36,92.67,A,2,Visual
Siddharth Sharma,99.51,9.35,42.87,3,67.11,98.5,41.91,43.0,91.57,95.49,B,5,Auditory
Ananya Sharma,94.11,11.54,33.04,5,60.87,95.83,57.22,69.23,58.67,70.55,C,5,Kinesthetic
Diya Sharma,85.36,14.12,86.12,5,83.21,43.52,59.63,61.33,40.09,79.31,D,5,Auditory
Isha Sharma,57.55,14.15,43.6,2,48.82,66.77,91.17,55.09,54.05,40.57,D,2,Visual
Kavya Sharma,62.03,3.22,48.88,2,38.8,44.51,40.35,81.68,45.37,74.37,B,1,Visual
Pooja Sharma,59.01,12.62,30.73,2,72.58,92.37,55.56,86.17,45.54,68.39,B,3,Auditory
Sneha Sharma,81.55,4.19,31.28,1,88.68,32.92,59.72,54.69,81.57,97.74,C,3,Visual
Aditi Sharma,69.94,14.52,46.13,5,94.24,79.05,35.0,42.97,52.84,94.1,B,1,Auditory
Nisha Sharma,52.39,19.56,91.1,5,94.73,77.32,79.0,90.93,96.08,87.86,B,2,Visual
Priya Sharma,64.56,15.65,84.66,2,32.34,45.46,94.65,40.6,70.99,43.42,B,1,Visual
Meera Sharma,93.03,14.2,83.89,5,43.15,94.56,85.47,96.23,67.61,64.12,B,3,Auditory
Aarav Patel,89.8,2.47,87.89,1,82.49,71.53,40.03,77.66,66.06,81.76,A,2,Kinesthetic
Vivaan Patel,82.15,4.51,43.06,5,79.28,93.68,48.05,59.31,81.56,41.78,C,3,Visual
Aditya Patel,54.28,7.75,98.53,3,70.72,62.64,65.22,54.79,67.14,54.15,A,4,Kinesthetic
Arjun Patel,94.14,18.74,46.25,1,55.77,86.68,38.09,40.54,47.72,93.25,A,2,Visual
Krishna Patel,76.73,7.29,40.5,2,51.43,86.95,69.4,54.13,92.81,47.79,A,4,Kinesthetic
Rohan Patel,74.73,16.46,50.63,4,36.33,76.41,42.51,48.26,65.7,43.08,D,5,Visual
Rahul Patel,96.7,2.97,67.13,3,71.04,59.88,92.73,76.73,44.44,74.84,B,3,Auditory
Karthik Patel,50.44,13.58,38.71,1,44.9,93.26,60.27,49.99,71.76,96.79,C,3,Kinesthetic
Siddharth Patel,77.79,15.8,81.7,4,92.27,88.29,40.9,71.72,78.84,90.08,C,1,Auditory
Ananya Patel,89.56,11.32,56.01,1,45.68,46.14,48.62,75.41,56.53,98.49,C,5,Kinesthetic
Diya Patel,53.18,15.57,69.79,3,83.8,60.06,31.88,57.88,88.02,85.21,C,4,Visual
Isha Patel,67.86,14.75,81.4,5,54.38,39.85,56.38,42.1,80.19,66.24,C,2,Kinesthetic
Kavya Patel,98.87,10.06,93.13,2,87.33,31.8,58.1,42.24,79.02,96.8,B,3,Visual
Pooja Patel,60.59,17.44,87.35,1,81.71,35.39,72.82,41.58,65.25,65.6,B,3,Kinesthetic
Sneha Patel,76.56,7.49,67.62,2,31.63,36.87,48.44,84.35,97.71,61.01,C,1,Visual
Aditi Patel,87.3,9.08,99.38,1,75.49,54.36,92.04,59.08,56.45,66.89,A,4,Kinesthetic
Nisha Patel,69.52,11.26,67.08,1,69.27,94.84,36.54,87.78,74.66,88.84,B,5,Visual
Priya Patel,70.39,3.48,67.52,4,87.54,71.12,86.88,65.9,58.54,95.06,C,4,Kinesthetic
Meera Patel,53.16,10.79,41.09,3,46.32,91.58,55.13,67.18,84.69,61.46,B,4,Auditory
Aarav Gupta,59.5,7.16,40.41,1,81.09,33.31,39.77,70.77,42.87,67.73,A,1,Visual
Vivaan Gupta,94.03,5.88,41.81,4,92.05,74.31,57.94,82.78,42.75,93.9,B,3,Kinesthetic
Aditya Gupta,90.92,11.96,71.43,3,84.8,66.46,81.26,56.41,88.65,42.82,C,4,Kinesthetic
Arjun Gupta,65.23,7.26,59.06,3,94.48,41.21,41.02,47.3,66.06,87.03,C,4,Kinesthetic
Krishna Gupta,69.09,17.25,57.01,1,51.47,45.2,32.42,73.36,60.47,67.25,D,5,Kinesthetic
Rohan Gupta,72.02,8.79,38.93,3,59.44,40.67,43.42,59.62,76.45,62.59,B,3,Auditory
Rahul Gupta,67.3,8.85,56.68,3,57.45,46.73,78.91,66.55,82.11,66.82,B,2,Auditory
Karthik Gupta,82.7,19.66,56.46,5,53.7,30.11,52.15,78.82,52.07,65.12,A,1,Auditory
Siddharth Gupta,50.64,7.49,73.46,2,40.55,52.04,97.95,69.65,51.13,85.4,C,3,Kinesthetic
Ananya Gupta,94.01,3.5,57.19,5,31.21,98.66,34.09,77.22,97.49,95.68,C,3,Kinesthetic
Diya Gupta,65.03,17.66,59.31,3,48.41,73.92,88.6,72.65,75.38,69.49,B,3,Kinesthetic
Isha Gupta,93.62,18.42,49.08,5,99.51,67.75,95.64,84.39,63.41,89.96,B,3,Kinesthetic
Kavya Gupta,72.72,5.3,39.21,5,50.58,68.39,49.56,82.36,88.09,83.92,A,3,Visual
Pooja Gupta,88.82,17.76,51.0,4,86.27,71.99,60.9,72.05,71.51,59.84,C,1,Visual
Sneha Gupta,91.29,10.4,32.99,2,40.44,81.82,68.98,80.73,54.5,75.24,C,1,Kinesthetic
Aditi Gupta,65.06,1.83,44.26,1,69.04,85.72,58.07,92.41,52.4,80.01,C,5,Auditory
Nisha Gupta,82.02,11.43,52.75,1,38.14,32.05,45.93,65.94,63.81,41.41,C,4,Auditory
Priya Gupta,80.37,17.13,40.2,4,76.59,43.06,55.24,64.77,91.59,63.76,A,3,Visual
Meera Gupta,73.8,8.54,76.55,1,37.8,41.58,77.86,85.85,43.69,99.56,B,2,Kinesthetic
Aarav Singh,73.48,11.47,49.65,5,50.61,56.57,56.7,74.95,53.11,78.24,D,3,Visual
Vivaan Singh,65.26,3.67,73.09,3,39.21,48.6,54.51,44.26,93.59,60.05,C,4,Auditory
Aditya Singh,65.51,17.0,75.07,5,54.99,87.3,48.33,93.53,47.3,55.0,B,4,Visual
Arjun Singh,77.41,3.03,61.31,5,52.06,58.75,98.41,41.85,77.78,52.57,A,3,Auditory
Krishna Singh,51.61,2.79,61.44,4,49.01,88.85,94.82,84.9,52.81,64.1,B,2,Visual
Rohan Singh,96.68,18.74,70.7,2,40.4,80.05,84.52,85.53,76.35,51.6,C,5,Visual
Rahul Singh,82.5,17.6,48.37,5,66.41,60.78,94.88,97.19,62.99,48.11,C,3,Visual
Karthik Singh,72.17,11.92,31.49,4,44.1,97.05,62.94,43.25,46.1,61.84,B,3,Auditory
Siddharth Singh,53.09,3.02,75.15,4,88.47,85.31,53.77,75.81,74.95,76.42,B,4,Visual
Ananya Singh,81.5,11.37,72.6,3,76.01,79.17,82.43,65.67,80.98,48.78,B,1,Kinesthetic
Diya Singh,50.89,18.49,63.35,4,89.91,84.82,77.24,59.84,80.82,42.66,C,5,Kinesthetic
Isha Singh,83.99,12.63,91.3,5,90.25,59.35,93.75,45.42,78.22,42.08,A,4,Auditory
Kavya Singh,53.63,4.77,65.6,1,53.4,37.77,38.35,73.76,70.01,56.04,B,4,Auditory
Pooja Singh,82.81,18.21,51.24,1,35.21,58.79,83.73,68.74,71.17,51.41,B,3,Visual
Sneha Singh,70.29,17.44,79.95,5,47.8,66.09,60.31,46.27,78.14,72.36,B,1,Auditory
Aditi Singh,83.13,11.39,97.37,1,60.84,37.46,84.73,76.75,81.42,67.34,C,5,Kinesthetic
Nisha Singh,56.92,17.19,81.58,3,95.94,55.92,63.31,84.28,79.29,59.49,B,4,Visual
Priya Singh,55.87,2.07,93.62,2,61.7,94.93,76.41,86.04,75.22,90.01,A,1,Auditory
Meera Singh,62.37,9.76,37.89,4,96.3,39.27,77.92,94.32,49.35,70.3,C,2,Auditory
Aarav Kumar,70.58,4.38,38.47,2,84.14,73.85,80.11,64.57,52.64,45.49,C,5,Visual
Vivaan Kumar,62.65,16.91,40.82,1,62.95,89.12,62.54,97.18,55.61,57.75,B,3,Auditory
Aditya Kumar,54.1,19.45,79.2,2,90.73,81.27,72.77,91.93,95.18,98.4,B,1,Auditory
Arjun Kumar,66.25,18.68,57.28,3,93.27,43.63,85.32,57.79,85.56,98.62,A,2,Auditory
Krishna Kumar,85.29,10.56,63.44,1,60.45,58.58,62.38,49.56,73.17,55.28,A,1,Auditory
Rohan Kumar,79.15,10.71,48.33,4,86.96,69.32,36.49,66.12,55.12,50.03,B,4,Auditory
Rahul Kumar,98.17,18.26,81.53,5,90.68,39.37,55.88,64.11,46.65,69.74,A,3,Visual
Karthik Kumar,71.8,14.71,89.17,3,60.13,48.22,56.48,74.54,93.93,68.89,C,4,Kinesthetic
Siddharth Kumar,66.64,2.42,41.21,1,63.09,76.16,98.05,75.0,93.56,64.61,A,2,Visual
Ananya Kumar,84.68,3.44,43.49,3,48.66,88.41,75.42,85.0,46.64,71.76,A,5,Visual
Diya Kumar,70.6,19.08,53.76,5,61.63,95.91,72.26,70.59,87.83,53.93,B,3,Kinesthetic
Isha Kumar,80.92,7.95,49.61,4,64.21,44.72,61.47,46.29,66.8,46.9,C,4,Auditory
Kavya Kumar,97.31,4.56,67.21,2,75.06,68.12,33.91,91.5,59.44,74.23,B,5,Visual
Pooja Kumar,74.96,14.98,82.68,3,71.41,74.59,90.29,58.59,84.35,95.96,B,5,Visual
Sneha Kumar,74.91,17.71,85.53,5,92.67,80.25,84.8,98.28,76.86,48.26,C,3,Auditory
Aditi Kumar,88.76,4.92,44.59,3,75.39,75.77,34.52,47.07,86.8,82.29,B,3,Visual
Nisha Kumar,87.8,5.78,42.29,5,39.63,84.75,57.97,97.5,44.46,66.27,D,1,Visual
Priya Kumar,75.81,18.1,55.46,3,46.71,58.11,91.04,45.46,59.12,57.64,B,2,Visual
Meera Kumar,53.24,1.25,40.34,5,94.13,66.24,59.61,53.86,59.16,91.19,B,1,Auditory
Aarav Mehta,99.04,18.25,36.43,2,34.28,41.5,50.49,42.79,59.79,67.39,B,4,Kinesthetic
Vivaan Mehta,68.87,1.75,46.98,3,78.84,31.98,46.2,82.31,70.15,75.0,A,3,Visual
Aditya Mehta,65.84,2.81,57.58,2,35.85,41.69,46.69,91.02,56.98,66.58,B,5,Auditory
Arjun Mehta,99.08,17.38,71.15,5,45.45,79.63,45.99,66.04,66.66,44.87,D,2,Kinesthetic
Krishna Mehta,93.61,5.72,80.63,3,86.45,49.55,38.24,95.71,62.07,75.69,A,5,Auditory
Rohan Mehta,66.51,5.27,45.6,3,55.13,82.5,52.01,75.42,84.12,65.13,B,3,Visual
Rahul Mehta,65.42,17.04,87.31,5,63.58,32.08,86.53,77.8,76.21,45.21,A,1,Visual
Karthik Mehta,86.05,11.3,32.36,2,84.81,52.06,90.07,90.73,79.22,75.75,B,4,Visual
Siddharth Mehta,66.72,7.66,61.08,5,70.76,33.63,33.8,57.81,52.64,40.59,C,3,Visual
Ananya Mehta,62.57,14.57,74.32,4,49.32,82.88,68.47,61.26,59.53,52.51,B,1,Visual
Diya Mehta,98.98,16.39,50.39,5,96.54,58.57,88.1,94.36,41.27,86.86,A,2,Auditory
Isha Mehta,78.29,17.39,77.86,2,60.79,42.65,49.38,94.06,46.5,42.28,C,1,Visual
Kavya Mehta,88.12,3.27,90.69,4,38.07,70.19,50.32,98.59,55.9,78.8,B,3,Visual
Pooja Mehta,85.65,12.07,36.26,4,34.58,97.73,73.22,94.11,43.93,96.98,B,5,Kinesthetic
Sneha Mehta,87.78,13.89,65.88,4,87.08,33.48,67.7,47.64,76.16,50.27,C,5,Kinesthetic
Aditi Mehta,95.17,3.21,31.31,4,65.21,72.59,74.9,89.42,99.89,65.03,C,4,Kinesthetic
Nisha Mehta,75.04,12.59,49.57,3,67.01,78.63,46.86,64.59,46.05,74.53,A,5,Visual
Priya Mehta,87.67,1.61,39.59,1,50.4,89.09,34.6,99.45,89.27,67.02,D,4,Visual
Meera Mehta,89.84,7.49,73.7,5,87.87,53.19,42.49,68.34,47.13,77.22,A,1,Kinesthetic
Aarav Iyer,97.32,4.27,47.41,4,89.07,75.73,37.77,73.23,80.19,64.25,A,1,Visual
Vivaan Iyer,85.65,11.66,49.77,3,68.03,35.81,30.63,71.79,78.59,48.91,A,4,Auditory
Aditya Iyer,94.63,4.63,44.39,2,86.41,37.45,57.36,59.3,94.16,45.34,D,5,Visual
Arjun Iyer,54.75,15.99,47.07,4,84.24,80.33,53.74,44.5,46.84,84.67,A,3,Auditory
Krishna Iyer,56.3,3.3,45.76,4,48.04,61.96,96.25,93.74,58.93,54.32,C,2,Auditory
Rohan Iyer,57.92,15.4,78.85,2,92.84,65.27,59.22,88.16,45.45,90.85,A,1,Kinesthetic
Rahul Iyer,57.24,2.88,96.91,1,44.21,90.99,93.52,48.37,64.44,84.58,C,4,Visual
Karthik Iyer,54.38,9.41,64.32,1,73.5,40.27,79.61,86.61,94.7,42.97,A,5,Visual
Siddharth Iyer,56.13,14.27,72.03,3,94.97,43.14,95.46,77.55,86.89,52.07,C,1,Visual
Ananya Iyer,99.8,4.07,87.27,2,48.06,57.43,50.65,64.55,83.37,57.52,B,5,Kinesthetic
Diya Iyer,63.61,15.29,63.33,1,67.05,56.35,87.8,55.24,71.98,75.67,B,1,Auditory
Isha Iyer,73.9,19.11,51.14,4,81.84,69.21,51.1,91.58,93.01,88.59,B,1,Kinesthetic
Kavya Iyer,91.08,8.09,96.57,4,88.61,60.54,43.44,82.01,66.97,43.62,C,5,Kinesthetic
Pooja Iyer,55.92,1.0,93.43,5,36.6,50.48,59.42,72.86,48.98,54.98,B,4,Auditory
Sneha Iyer,65.87,10.06,45.43,5,30.79,89.68,37.96,76.57,90.26,62.57,B,2,Visual
Aditi Iyer,57.96,18.15,79.22,1,95.54,40.59,97.64,45.46,56.78,51.0,C,4,Auditory
Nisha Iyer,53.13,13.64,75.3,5,66.59,30.69,63.55,68.44,43.22,72.72,B,4,Visual
Priya Iyer,98.04,14.36,75.47,3,79.34,40.12,39.41,51.62,47.56,68.68,B,2,Auditory
Meera Iyer,92.92,16.06,88.14,5,51.62,63.55,34.84,52.5,76.54,58.99,B,4,Visual
Aarav Nair,93.96,18.26,77.19,3,50.69,71.04,99.91,79.68,76.42,71.01,C,5,Visual
Vivaan Nair,93.43,3.37,66.26,4,74.27,40.86,74.11,94.68,55.61,61.35,A,4,Visual
Aditya Nair,57.73,12.21,89.22,1,44.41,70.16,58.86,64.23,83.63,60.59,B,4,Visual
Arjun Nair,89.25,17.9,48.54,3,79.93,32.55,43.42,52.46,86.42,55.92,C,4,Visual
Krishna Nair,86.39,15.74,77.55,1,44.91,73.4,53.4,78.92,95.23,72.43,C,4,Visual
Rohan Nair,96.27,5.73,79.11,5,31.51,66.99,93.05,92.27,75.1,66.65,A,2,Visual
Rahul Nair,60.97,17.62,90.92,3,92.03,59.28,66.52,84.9,86.77,51.78,B,3,Visual
Karthik Nair,70.7,6.59,99.88,2,76.76,94.54,49.84,92.13,85.19,40.78,C,4,Visual
Siddharth Nair,64.75,8.81,69.03,5,84.57,60.45,93.98,72.19,55.47,49.06,D,5,Visual
Ananya Nair,62.9,4.53,63.91,1,73.06,55.86,89.39,85.11,58.61,42.57,C,3,Kinesthetic
Diya Nair,82.62,17.82,72.05,5,81.89,45.57,44.85,48.4,68.71,65.9,D,2,Visual
Isha Nair,58.2,2.77,76.11,4,41.82,51.91,62.65,60.9,41.14,53.51,B,5,Visual
Kavya Nair,73.24,19.89,79.91,2,33.0,45.34,82.73,63.37,57.84,65.23,A,3,Visual
Pooja Nair,82.33,7.24,49.69,1,88.67,42.26,38.45,70.68,68.43,59.77,B,4,Kinesthetic
Sneha Nair,56.52,14.51,64.09,2,79.48,59.12,65.49,95.74,46.48,72.28,B,4,Visual
Aditi Nair,62.85,3.45,55.96,2,74.66,34.09,55.31,92.46,47.58,83.43,A,4,Kinesthetic
Nisha Nair,98.37,10.27,32.71,2,53.9,74.24,68.15,48.07,67.79,68.76,C,3,Visual
Priya Nair,89.77,1.76,72.67,1,93.55,62.98,65.14,50.37,83.86,43.72,C,2,Auditory
Meera Nair,83.85,17.69,91.24,4,40.01,43.89,44.96,61.46,90.02,41.05,C,5,Visual
Aarav Choudhary,92.8,9.48,94.5,2,81.35,30.46,76.4,57.44,72.78,52.79,B,1,Visual
Vivaan Choudhary,50.7,15.11,66.22,2,64.3,70.12,35.85,76.89,68.48,65.5,B,2,Visual
Aditya Choudhary,50.3,18.0,83.61,3,98.21,34.75,50.3,94.17,63.06,42.69,A,4,Kinesthetic
Arjun Choudhary,57.7,2.3,79.87,5,62.87,98.75,49.43,97.74,51.58,59.66,C,3,Visual
Krishna Choudhary,74.76,10.72,46.02,1,44.54,63.99,91.17,79.22,48.79,93.22,D,5,Kinesthetic
Rohan Choudhary,78.5,4.6,34.4,1,70.58,67.73,99.49,90.29,87.51,45.4,A,2,Kinesthetic
Rahul Choudhary,55.68,2.31,82.35,5,87.13,92.49,44.16,71.51,67.9,96.91,B,5,Auditory
Karthik Choudhary,53.61,12.82,49.79,4,77.54,96.35,70.93,52.5,87.42,91.4,A,4,Visual
Siddharth Choudhary,91.42,3.17,68.46,3,39.9,95.3,88.84,71.48,82.24,89.91,B,2,Auditory
Ananya Choudhary,73.22,10.35,66.68,3,30.13,60.96,45.26,73.3,51.63,91.82,B,5,Visual
Diya Choudhary,99.62,4.74,87.25,1,33.88,45.4,95.43,84.55,70.62,44.8,B,3,Auditory
Isha Choudhary,61.47,4.76,75.13,3,64.47,92.38,66.28,53.19,66.64,49.07,B,1,Visual
Kavya Choudhary,82.36,10.94,89.3,5,36.28,48.07,99.13,62.1,65.43,48.06,A,5,Visual
Pooja Choudhary,90.22,11.55,82.66,2,30.54,52.37,85.54,61.84,72.55,46.67,B,3,Kinesthetic
Sneha Choudhary,93.63,1.07,99.99,1,64.1,38.02,67.47,97.57,98.92,59.66,D,1,Visual
Aditi Choudhary,65.32,10.51,90.47,1,40.35,89.86,56.52,66.64,88.77,89.81,C,1,Auditory
Nisha Choudhary,59.66,13.73,44.78,1,46.54,93.82,85.77,85.31,94.22,55.12,A,1,Visual
Priya Choudhary,61.3,13.89,97.3,3,47.01,86.91,72.57,85.05,41.78,54.65,B,2,Visual
Meera Choudhary,83.34,17.15,53.81,1,42.5,51.32,65.5,55.93,48.42,80.55,A,2,Auditory
Aarav Reddy,76.12,18.01,72.55,1,79.24,86.54,39.69,74.31,45.09,45.82,D,4,Visual
Vivaan Reddy,79.95,12.83,95.89,4,98.05,38.51,73.45,93.66,55.79,61.62,C,5,Kinesthetic
Aditya Reddy,51.03,10.15,44.99,1,31.63,84.68,72.36,68.51,66.51,57.73,C,4,Kinesthetic
Arjun Reddy,69.55,4.88,90.01,5,41.82,95.96,63.3,96.71,78.52,90.84,C,1,Kinesthetic
Krishna Reddy,65.51,3.41,96.72,3,63.73,46.7,45.39,52.87,70.05,70.87,A,3,Kinesthetic
Rohan Reddy,93.19,12.57,89.76,1,82.91,66.44,50.4,44.45,94.19,78.79,B,4,Auditory
Rahul Reddy,88.81,18.99,87.34,5,36.47,72.74,48.18,93.49,96.39,47.74,C,4,Auditory
Karthik Reddy,71.48,6.29,48.52,3,86.03,61.51,56.04,90.86,49.81,95.74,C,5,Visual
Siddharth Reddy,81.53,2.89,58.5,3,69.74,49.1,58.84,99.56,91.17,59.35,B,1,Kinesthetic
Ananya Reddy,52.38,9.05,83.22,1,71.28,61.55,42.73,80.76,68.9,82.41,B,4,Kinesthetic
Diya Reddy,81.86,1.01,38.27,3,30.94,73.68,67.64,96.2,67.2,97.28,A,4,Visual
Isha Reddy,54.86,11.52,92.19,5,34.9,58.93,82.37,89.62,87.1,70.52,C,1,Visual
Kavya Reddy,85.7,1.94,44.72,4,97.6,79.0,44.46,90.67,45.59,70.45,B,1,Kinesthetic
Pooja Reddy,78.69,18.69,69.54,2,82.43,34.63,98.17,74.15,92.95,47.03,B,3,Visual
Sneha Reddy,65.02,17.53,37.35,1,85.53,66.12,42.76,62.94,80.25,63.42,D,2,Kinesthetic
Aditi Reddy,68.54,3.18,42.96,3,40.55,92.6,81.37,96.07,92.52,91.15,A,2,Visual
Nisha Reddy,54.5,3.79,70.99,4,31.12,99.46,77.47,65.93,99.67,48.11,A,3,Kinesthetic
Priya Reddy,66.14,19.12,74.42,5,74.79,69.48,37.97,72.33,71.08,95.05,B,1,Visual
Meera Reddy,98.34,16.46,48.88,3,82.59,65.81,92.45,66.77,45.6,80.04,A,3,Auditory
Aarav Sharma,74.31,18.9,38.34,5,94.84,53.91,65.31,73.89,49.99,65.26,B,1,Kinesthetic
Vivaan Sharma,73.71,7.36,68.47,2,43.68,45.61,38.53,68.23,59.42,72.79,B,3,Auditory
Aditya Sharma,81.46,3.11,88.84,3,78.65,47.12,49.14,42.88,46.21,49.03,B,5,Auditory
Arjun Sharma,74.22,12.69,44.1,2,37.34,31.89,51.54,92.92,88.92,53.05,C,1,Auditory
Krishna Sharma,67.78,19.37,78.41,5,76.74,98.54,45.68,66.66,57.81,57.18,C,4,Kinesthetic
Rohan Sharma,56.98,3.47,57.01,2,76.35,43.51,70.0,75.34,98.55,63.09,A,5,Auditory
Rahul Sharma,81.52,16.56,96.02,4,57.75,68.09,61.99,48.35,82.16,94.93,C,4,Auditory
Karthik Sharma,87.45,7.83,35.78,4,72.41,33.52,45.7,40.2,50.41,62.05,B,5,Visual
Siddharth Sharma,96.16,3.19,32.8,5,72.94,37.53,71.97,54.72,68.56,71.43,C,1,Visual
Ananya Sharma,50.15,9.72,38.7,3,45.08,85.73,87.0,82.28,68.01,49.72,B,2,Auditory
Diya Sharma,53.33,10.29,84.77,5,75.85,72.46,90.43,45.95,69.55,84.16,D,2,Visual
Isha Sharma,94.97,1.17,94.59,2,74.03,38.68,61.63,94.53,72.14,73.62,C,2,Visual
Kavya Sharma,81.56,10.01,87.57,1,58.67,64.19,96.53,52.9,41.87,66.39,A,4,Auditory
Pooja Sharma,97.9,13.3,80.25,1,49.16,53.01,42.89,52.28,81.18,96.83,B,4,Visual
Sneha Sharma,71.54,15.53,34.03,4,79.37,63.96,59.4,50.89,69.23,93.44,A,1,Auditory
Aditi Sharma,70.83,2.87,44.97,4,57.91,37.54,64.36,40.84,87.46,79.57,C,3,Kinesthetic
Nisha Sharma,67.21,17.65,95.48,1,78.23,92.46,59.86,86.31,88.92,95.31,A,2,Auditory
Priya Sharma,57.14,4.19,73.6,2,71.11,69.44,46.95,92.5,53.83,73.89,A,3,Visual
Meera Sharma,68.93,13.51,62.78,5,43.92,67.68,79.71,76.85,42.91,89.62,D,2,Kinesthetic
Aarav Patel,50.73,11.5,75.66,3,95.28,42.3,36.11,51.29,82.19,64.57,B,2,Visual
Vivaan Patel,75.47,17.72,42.5,1,68.35,68.25,71.58,57.12,98.67,45.2,C,3,Kinesthetic
Aditya Patel,92.36,1.73,92.5,2,39.91,98.86,71.58,68.56,66.8,99.65,C,2,Auditory
Arjun Patel,66.06,4.64,75.94,5,60.96,38.44,44.27,97.26,55.58,49.94,A,1,Visual
Krishna Patel,54.73,3.32,62.99,1,49.38,79.31,44.38,54.84,49.4,55.09,A,3,Visual
Rohan Patel,98.69,7.22,62.02,3,34.36,57.06,87.65,83.9,57.25,49.79,B,3,Visual
Rahul Patel,56.45,7.44,87.57,5,57.5,84.35,81.34,66.37,59.68,60.25,B,3,Visual
Karthik Patel,76.43,2.68,51.55,2,99.2,66.29,63.12,57.87,65.43,57.36,C,1,Auditory
Siddharth Patel,90.46,10.77,39.6,3,97.34,93.24,58.38,67.35,79.32,76.07,A,2,Auditory
Ananya Patel,62.62,3.21,43.0,1,55.29,35.88,85.51,44.27,56.39,99.79,D,1,Auditory
Diya Patel,92.07,2.41,35.68,4,42.91,59.61,89.45,87.92,43.06,43.15,B,3,Visual
Isha Patel,77.85,1.63,65.55,4,43.69,52.72,78.67,54.6,62.4,86.71,A,3,Visual
Kavya Patel,66.6,18.65,77.41,2,97.24,91.99,39.58,83.52,91.34,47.68,A,2,Visual
Pooja Patel,93.28,8.54,95.38,4,50.95,32.73,54.55,44.1,69.9,41.19,C,3,Visual
Sneha Patel,81.1,6.39,82.56,5,54.01,42.57,36.82,97.31,97.89,78.31,D,3,Kinesthetic
Aditi Patel,80.77,10.16,70.82,4,67.15,62.6,82.36,51.58,70.22,92.4,D,3,Visual
Nisha Patel,75.2,4.0,90.48,4,44.38,67.62,57.33,92.96,56.55,50.58,C,5,Visual
Priya Patel,63.74,8.72,92.45,5,87.3,64.0,37.6,88.57,51.6,60.5,A,5,Auditory
Meera Patel,65.24,4.62,79.87,2,80.02,71.86,83.29,98.07,81.67,50.13,B,2,Visual
Aarav Gupta,54.4,6.78,33.94,1,84.33,95.06,64.16,68.67,72.18,94.39,C,5,Visual
Vivaan Gupta,62.19,18.56,50.42,2,64.07,75.22,70.25,83.64,76.24,56.22,B,5,Auditory
Aditya Gupta,63.89,3.83,53.53,4,51.6,62.77,34.4,62.24,85.31,66.68,C,3,Kinesthetic
Arjun Gupta,52.94,10.0,99.82,2,59.84,72.45,60.35,51.06,83.55,93.68,A,1,Visual
Krishna Gupta,55.52,13.56,62.49,1,38.41,44.85,43.99,66.58,42.6,73.17,B,5,Auditory
Rohan Gupta,63.51,18.44,83.33,5,74.63,33.93,68.27,49.94,88.15,95.97,A,5,Visual
Rahul Gupta,83.86,18.54,86.97,5,86.1,78.32,72.0,98.92,71.96,95.59,B,3,Auditory
Karthik Gupta,59.21,5.7,75.73,5,67.01,83.06,63.93,45.77,63.5,67.7,B,3,Kinesthetic
